id,prediction
050_0_0,0
050_0_16,1
050_0_32,1
050_0_48,1
050_0_64,0
050_0_80,0
050_0_96,0
050_0_112,0
050_0_128,0
050_0_144,1
050_0_160,1
050_0_176,1
050_0_192,1
050_0_208,1
050_0_224,1
050_0_240,1
050_0_256,1
050_0_272,1
050_0_288,1
050_0_304,1
050_0_320,1
050_0_336,1
050_0_352,1
050_0_368,1
050_0_384,1
050_0_400,1
050_0_416,1
050_0_432,1
050_0_448,1
050_0_464,1
050_0_480,1
050_0_496,1
050_0_512,1
050_0_528,0
050_0_544,0
050_0_560,1
050_0_576,1
050_0_592,1
050_16_0,0
050_16_16,1
050_16_32,1
050_16_48,1
050_16_64,0
050_16_80,0
050_16_96,0
050_16_112,0
050_16_128,0
050_16_144,1
050_16_160,1
050_16_176,0
050_16_192,0
050_16_208,0
050_16_224,0
050_16_240,0
050_16_256,0
050_16_272,0
050_16_288,0
050_16_304,0
050_16_320,0
050_16_336,0
050_16_352,0
050_16_368,0
050_16_384,0
050_16_400,0
050_16_416,0
050_16_432,0
050_16_448,0
050_16_464,0
050_16_480,0
050_16_496,0
050_16_512,0
050_16_528,0
050_16_544,0
050_16_560,1
050_16_576,1
050_16_592,1
050_32_0,0
050_32_16,1
050_32_32,1
050_32_48,1
050_32_64,0
050_32_80,0
050_32_96,0
050_32_112,0
050_32_128,1
050_32_144,1
050_32_160,1
050_32_176,0
050_32_192,0
050_32_208,0
050_32_224,0
050_32_240,0
050_32_256,0
050_32_272,0
050_32_288,0
050_32_304,0
050_32_320,0
050_32_336,0
050_32_352,0
050_32_368,0
050_32_384,0
050_32_400,0
050_32_416,0
050_32_432,0
050_32_448,0
050_32_464,0
050_32_480,0
050_32_496,0
050_32_512,0
050_32_528,0
050_32_544,0
050_32_560,1
050_32_576,1
050_32_592,1
050_48_0,0
050_48_16,1
050_48_32,1
050_48_48,1
050_48_64,0
050_48_80,0
050_48_96,0
050_48_112,0
050_48_128,0
050_48_144,1
050_48_160,0
050_48_176,0
050_48_192,0
050_48_208,0
050_48_224,0
050_48_240,0
050_48_256,0
050_48_272,0
050_48_288,0
050_48_304,0
050_48_320,0
050_48_336,0
050_48_352,0
050_48_368,0
050_48_384,0
050_48_400,0
050_48_416,0
050_48_432,0
050_48_448,0
050_48_464,0
050_48_480,0
050_48_496,0
050_48_512,0
050_48_528,0
050_48_544,0
050_48_560,1
050_48_576,1
050_48_592,1
050_64_0,0
050_64_16,1
050_64_32,1
050_64_48,1
050_64_64,0
050_64_80,0
050_64_96,0
050_64_112,0
050_64_128,0
050_64_144,0
050_64_160,0
050_64_176,0
050_64_192,0
050_64_208,0
050_64_224,0
050_64_240,0
050_64_256,0
050_64_272,0
050_64_288,0
050_64_304,0
050_64_320,0
050_64_336,0
050_64_352,0
050_64_368,0
050_64_384,0
050_64_400,0
050_64_416,0
050_64_432,0
050_64_448,0
050_64_464,0
050_64_480,0
050_64_496,0
050_64_512,0
050_64_528,0
050_64_544,0
050_64_560,1
050_64_576,1
050_64_592,1
050_80_0,0
050_80_16,1
050_80_32,1
050_80_48,1
050_80_64,0
050_80_80,0
050_80_96,0
050_80_112,0
050_80_128,0
050_80_144,0
050_80_160,0
050_80_176,0
050_80_192,0
050_80_208,0
050_80_224,0
050_80_240,0
050_80_256,0
050_80_272,0
